"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 15:44:16 GMT 2024","Mon Feb 19 15:44:46 GMT 2024","29903","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","sectionShouldBeDeleted","Checking for section deletion",""
"passed","Mon Feb 19 15:46:01 GMT 2024","Mon Feb 19 15:46:46 GMT 2024","45916","TestRail Smoke Test","Thread #1","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeEdited","Checking for changes to the project",""
"passed","Mon Feb 19 15:43:47 GMT 2024","Mon Feb 19 15:43:52 GMT 2024","5505","TestRail Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyUserLogin","Checking of registration without Login",""
"passed","Mon Feb 19 15:44:42 GMT 2024","Mon Feb 19 15:45:18 GMT 2024","36163","TestRail Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","userShouldBeLogOut","Checking of log out",""
"passed","Mon Feb 19 15:46:21 GMT 2024","Mon Feb 19 15:46:51 GMT 2024","29091","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","testCaseShouldBeCreatedWithCorrectDetails","Checking for details in the created test case",""
"passed","Mon Feb 19 15:47:26 GMT 2024","Mon Feb 19 15:47:58 GMT 2024","31275","TestRail Smoke Test","Thread #3","tests.TestRunsTest","tests.TestRunsTest","testRunShouldBeDeleted","Checking for the deletion of a testRuns",""
"passed","Mon Feb 19 15:45:37 GMT 2024","Mon Feb 19 15:46:00 GMT 2024","23126","TestRail Smoke Test","Thread #1","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeDeleted","Checking for project deletion",""
"passed","Mon Feb 19 15:47:39 GMT 2024","Mon Feb 19 15:48:27 GMT 2024","47877","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","testCaseShouldBeEdited","Checking for changes to the test case",""
"passed","Mon Feb 19 15:43:53 GMT 2024","Mon Feb 19 15:44:05 GMT 2024","11984","TestRail Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyUserPassword","Checking of registration without Password",""
"passed","Mon Feb 19 15:46:12 GMT 2024","Mon Feb 19 15:46:52 GMT 2024","39838","TestRail Smoke Test","Thread #3","tests.TestRunsTest","tests.TestRunsTest","testRunShouldBeAdded","Checking for the creation of a testRuns",""
"passed","Mon Feb 19 15:45:02 GMT 2024","Mon Feb 19 15:46:11 GMT 2024","68969","TestRail Smoke Test","Thread #3","tests.MilestonesTest","tests.MilestonesTest","milestoneShouldBeEdited","Verification of edition a milestone",""
"passed","Mon Feb 19 15:47:58 GMT 2024","Mon Feb 19 15:48:28 GMT 2024","29789","TestRail Smoke Test","Thread #3","tests.TestRunsTest","tests.TestRunsTest","testRunShouldBeEdited","Checking for the edition of a testRuns",""
"passed","Mon Feb 19 15:43:47 GMT 2024","Mon Feb 19 15:44:25 GMT 2024","37850","TestRail Smoke Test","Thread #3","tests.MilestonesTest","tests.MilestonesTest","milestoneShouldBeCreated","Verification of creation a milestone",""
"passed","Mon Feb 19 15:44:25 GMT 2024","Mon Feb 19 15:45:01 GMT 2024","36096","TestRail Smoke Test","Thread #3","tests.MilestonesTest","tests.MilestonesTest","milestoneShouldBeDeleted","Verification of deletion a milestone",""
"passed","Mon Feb 19 15:43:47 GMT 2024","Mon Feb 19 15:44:15 GMT 2024","28453","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","sectionShouldBeAdded","Checking for the creation of a section",""
"passed","Mon Feb 19 15:45:32 GMT 2024","Mon Feb 19 15:46:21 GMT 2024","48645","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","testCaseShouldBeAdded","Checking for the creation of a test case",""
"passed","Mon Feb 19 15:44:46 GMT 2024","Mon Feb 19 15:45:32 GMT 2024","45285","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","sectionShouldBeEdited","Checking for changes to the section",""
"passed","Mon Feb 19 15:45:19 GMT 2024","Mon Feb 19 15:45:36 GMT 2024","16961","TestRail Smoke Test","Thread #1","tests.ProjectsTest","tests.ProjectsTest","projectShouldBeCreated","Checking for the creation of a project",""
"passed","Mon Feb 19 15:44:06 GMT 2024","Mon Feb 19 15:44:25 GMT 2024","18929","TestRail Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLogin","Checking of unsuccessful registration",""
"passed","Mon Feb 19 15:46:51 GMT 2024","Mon Feb 19 15:47:39 GMT 2024","47763","TestRail Smoke Test","Thread #2","tests.SuitesTest","tests.SuitesTest","testCaseShouldBeDeleted","Checking for test case deletion",""
"passed","Mon Feb 19 15:44:25 GMT 2024","Mon Feb 19 15:44:42 GMT 2024","16198","TestRail Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Checking of successful registration",""
